Timestamp,CO2_inlet_ppm,CO2_outlet_ppm
2025-07-16 15:02:20.888,514.5,513.4
2025-07-16 15:02:21.893,514.5,513.4
2025-07-16 15:02:22.904,514.5,513.4
2025-07-16 15:02:23.906,514.5,513.4
2025-07-16 15:02:24.926,514.5,513.4
2025-07-16 15:02:25.944,514.5,513.4
2025-07-16 15:02:26.955,514.5,513.4
2025-07-16 15:02:27.966,567.1,537.1
2025-07-16 15:02:28.977,558.2,537.1
2025-07-16 15:02:29.992,558.2,465.9
2025-07-16 15:02:31.012,557.1,465.9
2025-07-16 15:02:32.031,557.1,466.7
2025-07-16 15:02:33.049,561.3,466.7
2025-07-16 15:02:34.061,561.3,474.1
2025-07-16 15:02:35.075,559.0,474.1
2025-07-16 15:02:36.087,559.0,474.0
2025-07-16 15:02:37.107,543.9,472.5
2025-07-16 15:02:38.118,543.9,472.5
2025-07-16 15:02:39.129,544.8,472.9
2025-07-16 15:02:40.140,544.8,472.9
2025-07-16 15:02:41.150,548.1,471.5
2025-07-16 15:02:42.161,548.1,471.5
2025-07-16 15:02:43.171,547.7,470.5
2025-07-16 15:02:44.184,547.7,470.5
2025-07-16 15:02:45.205,550.5,464.6
2025-07-16 15:02:46.224,550.5,464.6
2025-07-16 15:02:47.235,552.9,462.7
2025-07-16 15:02:48.250,552.9,462.7
2025-07-16 15:02:49.259,546.0,463.5
2025-07-16 15:02:50.271,546.0,463.5
2025-07-16 15:02:51.280,545.5,463.8
2025-07-16 15:02:52.282,545.5,463.8
2025-07-16 15:02:53.293,544.2,462.9
2025-07-16 15:02:54.304,544.2,462.9
2025-07-16 15:02:55.315,545.6,463.5
2025-07-16 15:02:56.327,545.6,463.5
2025-07-16 15:02:57.337,554.2,460.6
2025-07-16 15:02:58.348,554.2,460.6
2025-07-16 15:02:59.359,551.8,459.9
2025-07-16 15:03:00.370,551.8,459.9
2025-07-16 15:03:01.377,546.3,459.6
2025-07-16 15:03:02.380,546.3,459.6
2025-07-16 15:03:03.391,548.0,460.7
2025-07-16 15:03:04.401,548.0,460.7
2025-07-16 15:03:05.417,549.7,458.7
2025-07-16 15:03:06.429,549.7,458.7
2025-07-16 15:03:07.451,551.7,460.0
2025-07-16 15:03:08.462,551.7,460.0
2025-07-16 15:03:09.475,566.9,460.8
2025-07-16 15:03:10.487,566.9,460.8
2025-07-16 15:03:11.498,564.1,459.4
2025-07-16 15:03:12.509,564.1,459.4
2025-07-16 15:03:13.521,581.5,463.1
2025-07-16 15:03:14.530,581.5,463.1
2025-07-16 15:03:15.541,581.6,463.0
2025-07-16 15:03:16.559,581.6,463.0
2025-07-16 15:03:17.570,588.2,464.9
2025-07-16 15:03:18.587,588.2,464.9
2025-07-16 15:03:19.607,587.9,464.7
2025-07-16 15:03:20.628,587.7,464.7
2025-07-16 15:03:21.640,587.7,469.9
2025-07-16 15:03:22.660,587.6,469.9
2025-07-16 15:03:23.670,587.6,470.4
2025-07-16 15:03:24.680,575.6,470.4
2025-07-16 15:03:25.691,575.6,470.8
2025-07-16 15:03:26.702,575.6,470.8
2025-07-16 15:03:27.713,575.6,469.6
2025-07-16 15:03:28.723,574.4,469.6
2025-07-16 15:03:29.734,574.4,471.1
2025-07-16 15:03:30.744,574.5,471.1
2025-07-16 15:03:31.762,574.5,473.1
2025-07-16 15:03:32.771,578.6,473.1
2025-07-16 15:03:33.781,578.6,467.2
2025-07-16 15:03:34.793,581.0,467.2
2025-07-16 15:03:35.812,581.0,465.1
2025-07-16 15:03:36.822,582.5,465.1
2025-07-16 15:03:37.833,582.5,465.9
2025-07-16 15:03:38.835,579.3,465.9
2025-07-16 15:03:39.848,579.3,468.5
2025-07-16 15:03:40.864,577.7,468.5
2025-07-16 15:03:41.888,577.7,470.8
2025-07-16 15:03:42.896,579.0,469.5
