Timestamp,CO2_inlet_ppm,CO2_outlet_ppm
2025-07-16 11:11:11.634,,
2025-07-16 11:11:12.648,,
2025-07-16 11:11:13.649,,
2025-07-16 11:11:14.650,,
2025-07-16 11:11:15.651,,
2025-07-16 11:11:16.651,,
2025-07-16 11:11:17.652,,
2025-07-16 11:11:18.653,551.4,608.5
2025-07-16 11:11:19.667,551.4,608.9
2025-07-16 11:11:20.690,549.3,608.9
2025-07-16 11:11:21.701,549.3,615.1
2025-07-16 11:11:22.730,560.0,615.1
2025-07-16 11:11:23.748,560.0,611.4
2025-07-16 11:11:24.768,558.5,611.4
2025-07-16 11:11:25.770,558.5,731.8
2025-07-16 11:11:26.777,644.2,731.8
2025-07-16 11:11:27.817,644.2,719.0
2025-07-16 11:11:28.820,642.7,719.0
2025-07-16 11:11:29.831,642.7,931.9
2025-07-16 11:11:30.832,629.9,931.9
2025-07-16 11:11:31.842,629.9,927.3
2025-07-16 11:11:32.852,630.4,917.8
2025-07-16 11:11:33.873,630.4,917.8
2025-07-16 11:11:34.883,583.2,920.9
2025-07-16 11:11:35.885,583.2,920.9
2025-07-16 11:11:36.896,582.9,874.0
2025-07-16 11:11:37.906,582.9,874.0
2025-07-16 11:11:38.939,562.2,872.2
2025-07-16 11:11:39.948,562.2,872.2
2025-07-16 11:11:40.958,564.7,830.0
2025-07-16 11:11:41.969,564.7,830.0
2025-07-16 11:11:42.972,539.6,832.2
2025-07-16 11:11:43.981,539.6,832.2
2025-07-16 11:11:44.998,539.8,809.2
2025-07-16 11:11:46.008,539.8,809.2
2025-07-16 11:11:47.019,551.6,810.0
2025-07-16 11:11:48.021,551.6,810.0
2025-07-16 11:11:49.032,551.1,784.6
2025-07-16 11:11:50.043,551.1,784.6
2025-07-16 11:11:51.059,561.4,782.6
2025-07-16 11:11:52.067,561.4,782.6
2025-07-16 11:11:53.075,561.6,758.6
2025-07-16 11:11:54.078,561.6,758.6
2025-07-16 11:11:55.085,554.5,757.9
2025-07-16 11:11:56.088,554.5,757.9
2025-07-16 11:11:57.108,555.2,747.3
2025-07-16 11:11:58.111,551.0,747.3
2025-07-16 11:11:59.122,551.0,749.3
2025-07-16 11:12:00.132,551.9,749.3
2025-07-16 11:12:01.134,551.9,739.8
2025-07-16 11:12:02.144,548.1,739.8
2025-07-16 11:12:03.154,548.1,739.2
2025-07-16 11:12:04.164,545.2,739.2
2025-07-16 11:12:05.176,545.2,728.3
2025-07-16 11:12:06.178,550.3,728.3
2025-07-16 11:12:07.188,550.3,727.5
2025-07-16 11:12:08.200,552.2,727.5
2025-07-16 11:12:09.212,552.2,722.0
2025-07-16 11:12:10.215,554.0,722.0
2025-07-16 11:12:11.226,554.0,721.5
2025-07-16 11:12:12.246,551.7,721.5
2025-07-16 11:12:13.263,551.7,712.4
2025-07-16 11:12:14.275,546.8,712.4
2025-07-16 11:12:15.293,546.8,712.0
2025-07-16 11:12:16.304,549.2,712.0
2025-07-16 11:12:17.323,549.2,706.9
2025-07-16 11:12:18.335,549.2,706.9
2025-07-16 11:12:19.347,549.2,710.5
2025-07-16 11:12:20.349,547.7,710.5
2025-07-16 11:12:21.352,547.7,702.7
2025-07-16 11:12:22.362,545.7,702.7
2025-07-16 11:12:23.370,545.7,700.1
2025-07-16 11:12:24.379,546.4,700.1
2025-07-16 11:12:25.389,546.4,700.9
2025-07-16 11:12:26.407,547.0,700.9
2025-07-16 11:12:27.417,547.0,701.7
2025-07-16 11:12:28.424,548.1,701.7
2025-07-16 11:12:29.435,548.1,694.1
2025-07-16 11:12:30.447,561.2,694.1
2025-07-16 11:12:31.449,561.2,693.8
2025-07-16 11:12:32.460,559.5,693.8
2025-07-16 11:12:33.478,559.5,692.7
2025-07-16 11:12:34.481,568.5,692.7
2025-07-16 11:12:35.483,568.5,692.3
2025-07-16 11:12:36.491,569.6,692.3
2025-07-16 11:12:37.494,569.6,685.7
2025-07-16 11:12:38.496,573.3,685.7
2025-07-16 11:12:39.506,573.3,685.4
2025-07-16 11:12:40.526,570.2,685.4
2025-07-16 11:12:41.529,570.2,683.8
2025-07-16 11:12:42.540,561.4,683.8
2025-07-16 11:12:43.568,561.4,682.9
2025-07-16 11:12:44.578,563.7,682.9
2025-07-16 11:12:45.587,563.7,684.3
2025-07-16 11:12:46.589,563.5,684.3
